time,open,high,low,close,Volume
1760023800,4016.265,4018.55,4006.545,4008.355,20810
1760024700,4008.35,4017.585,4007.885,4014.475,17188
1760025600,4014.42,4021.695,4013.74,4016.96,12674
1760026500,4017.055,4018.17,4009.865,4012.23,13176
1760027400,4012.235,4012.51,3976.735,3986.525,25967
1760028300,3986.5,3986.825,3963.905,3969.025,25487
1760029200,3969.08,3974.635,3951.065,3952.13,26892
1760030100,3952.145,3967.675,3944.435,3959.395,31375
1760031000,3959.51,3963.79,3955.94,3957.15,21918
1760031900,3957.17,3960.172,3945.28,3950.375,23254
1760032800,3950.33,3965.47,3949.57,3961.855,18864
1760033700,3961.9,3968.94,3960.22,3963.25,13647
1760034600,3963.175,3963.875,3956.055,3957.775,8894
1760035500,3957.855,3961.705,3956.615,3957.475,10030
1760036400,3957.45,3974.61,3955.375,3972.04,13178
1760037300,3972.045,3978.455,3969.725,3978.275,9231
1760038200,3978.4,3982.175,3976.735,3979.145,10413
1760039100,3979.16,3981.71,3972,3973.46,8500
1760040000,3973.34,3979.23,3973.215,3978.745,3182
1760040900,3978.77,3979.15,3973.855,3976.81,3504
1760041800,3976.785,3977.825,3973.165,3974.755,1786
1760042700,3974.74,3976.82,3973.045,3976.24,1338
1760047200,3977.265,3977.695,3958.855,3968.27,3445
1760048100,3968.26,3980.7,3968.215,3972.51,3095
1760049000,3972.515,3976.59,3971.165,3975.26,3929
1760049900,3975.185,3977.31,3973.87,3975.31,1171
1760050800,3975.345,3978.64,3974.565,3975.15,1387
1760051700,3975.155,3986.045,3974.925,3983.23,1809
1760052600,3983.205,3988.925,3978.74,3988.49,3111
1760053500,3988.455,3991.28,3985.345,3989.805,4825
1760054400,3989.785,3992.625,3985.53,3990.655,7258
1760055300,3990.65,3993.29,3989.01,3991.78,4715
1760056200,3991.77,3993.21,3988.305,3992.95,7120
1760057100,3992.945,3994.52,3989.685,3991.3,4545
1760058000,3991.27,3992.48,3983.72,3984.835,10810
1760058900,3984.8,3985.12,3975.44,3981.62,8655
1760059800,3981.56,3981.805,3969.885,3974.565,9124
1760060700,3974.585,3981.19,3972.355,3973.275,7227
1760061600,3973.27,3982.29,3973.27,3982.27,7306
1760062500,3982.235,3985.555,3981.615,3984.25,4629
1760063400,3984.185,3986.91,3981.86,3982.835,3952
1760064300,3982.89,3984.775,3976.855,3978.63,5895
1760065200,3978.615,3979.385,3970.585,3971.33,8190
1760066100,3971.415,3974.425,3961.835,3970.65,8276
1760067000,3970.57,3974.16,3963.655,3964.675,8341
1760067900,3964.595,3967.02,3960.695,3961.88,7538
1760068800,3961.895,3964.77,3947.02,3948.155,8727
1760069700,3948.14,3959.115,3948.13,3958.955,11507
1760070600,3958.98,3964.29,3957.635,3963.72,7432
1760071500,3963.525,3966.905,3962.775,3966.29,5937
1760072400,3966.285,3972.96,3966.16,3972.485,10385
1760073300,3972.55,3977.775,3972.415,3973.04,11867
1760074200,3973.085,3974.91,3965.835,3974.585,14823
1760075100,3974.54,3976.855,3971.35,3974.85,9729
1760076000,3974.845,3976.065,3967.735,3971.14,7491
1760076900,3971.13,3973.395,3968.165,3971.665,7314
1760077800,3971.66,3976.01,3968.38,3972.45,10533
1760078700,3972.725,3973.535,3962.64,3968.495,9271
1760079600,3968.54,3968.695,3952.855,3958.86,8586
1760080500,3958.89,3966.44,3957.545,3965.135,8691
1760081400,3965.15,3967.005,3962.335,3964.905,7243
1760082300,3964.885,3976.41,3964.395,3972.04,9790
1760083200,3972.025,3988.58,3970.28,3988.325,9740
1760084100,3988.305,3989.015,3985.62,3986.59,9075
1760085000,3986.575,3990.785,3985.38,3990.7,6711
1760085900,3990.695,3995.005,3990.085,3991.98,11051
1760086800,3992.005,4001.83,3990.41,4000.66,9029
1760087700,4000.655,4001.315,3990.625,3996.5,8804
1760088600,3996.435,4003.795,3994.525,4002.86,8754
1760089500,4002.865,4006.735,3995.35,3995.87,10159
1760090400,3995.64,3997.755,3991.335,3992.825,7409
1760091300,3992.71,3999.215,3990.85,3998.95,4420
1760092200,3998.9,4000.32,3996.97,3998.26,3137
1760093100,3998.275,3999.94,3993.36,3993.925,4313
1760094000,3993.955,3999.675,3993.375,3998.475,6502
1760094900,3998.375,3999.91,3994.26,3997.18,5494
1760095800,3997.19,3998.825,3991.25,3992.37,9587
1760096700,3992.32,3995.475,3983.44,3987.135,8652
1760097600,3987.21,3991.62,3985.185,3988.64,8245
1760098500,3988.695,3993.635,3986.5,3991.73,8188
1760099400,3991.84,3992.04,3984.615,3986.125,10141
1760100300,3986.16,3989.625,3980.12,3985.805,9506
1760101200,3985.765,3988.97,3979.5,3987.42,10997
1760102100,3987.365,3994.795,3986.26,3992.58,11252
1760103000,3992.565,3998.145,3988.58,3993.42,19106
1760103900,3993.5,3993.54,3975.63,3981.02,24767
1760104800,3981.03,3982.755,3970.855,3980.81,22347
1760105700,3980.765,3987.175,3976.975,3983.43,16745
1760106600,3983.425,3988.615,3980.245,3982.455,13309
1760107500,3982.47,3994.315,3980.65,3990.285,17350
1760108400,3990.275,4012.09,3988.135,4009.355,34661
1760109300,4009.2,4020.305,4003.27,4016.575,25748
1760110200,4016.56,4023,4005.19,4007.46,29971
1760111100,4007.59,4007.835,3994.69,3997.805,26094
1760112000,3997.695,3998.725,3981.725,3990.06,25787
1760112900,3989.965,3992.31,3977.35,3987.87,18791
1760113800,3987.79,3995.03,3985.47,3986.37,16019
1760114700,3986.345,3988.045,3979.87,3983.545,17158
1760115600,3983.595,3983.955,3975.235,3982.1,15893
1760116500,3982.165,3986.855,3981.18,3984.545,14217
1760117400,3984.65,3992.325,3978.38,3989.09,14196
1760118300,3989.145,3991.255,3983.615,3990.185,10928
1760119200,3990.24,3996.915,3984.41,3995.705,11296
1760120100,3995.755,4009.215,3995.47,4004.01,15460
1760121000,4004,4004.935,3992.92,3995.315,12624
1760121900,3995.305,4004.1,3994.395,3999.195,11324
1760122800,3999.125,4005.06,3995.835,4004.975,10379
1760123700,4004.97,4008.525,4002.18,4005.33,12210
1760124600,4005.345,4017.78,4005.225,4017.615,16606
1760125500,4017.64,4021.51,4010.07,4011.365,17996
1760126400,4011.435,4016.04,4006.015,4006.03,5202
1760127300,4006.025,4013.245,4006.025,4012.43,3280
1760128200,4012.48,4013.505,4007.855,4013.025,2793
1760129100,4012.975,4020.335,4008.39,4016.68,8043
1760306400,4017.625,4028.61,3998.15,4022.44,4683
1760307300,4022.475,4045.68,4019.91,4040.665,7571
1760308200,4040.69,4041.18,4033.12,4036.74,4921
1760309100,4036.725,4043.185,4032.755,4042.47,4614
1760310000,4042.485,4060.545,4040.5,4048.495,12144
1760310900,4048.51,4054.655,4046.115,4048.98,8728
1760311800,4049.1,4049.705,4036.26,4038.805,7164
1760312700,4038.78,4045.3,4032.235,4035.19,9834
1760313600,4035.205,4036.46,4025.05,4032.02,9952
1760314500,4032.04,4041.895,4024.39,4040.765,10686
